fid,id,nb_points,x,y,h,lat,lon,z,gnd_elev,min_h,delta_h,avg_intensity,source,validity,is_outlier,is_windmill,windmill_h,windmill_id,windmill_status,windmill_stand,in_nrw,eTOD_found,eTOD_name,eTOD_z,eTOD_h,eTOD_descr,eTOD_dist,eTOD_x,eTOD_y,AIP_issue,ALS_issue,processed_on,ALS_comment,AIP_comment,free_comment,view_available,object_type,OSINT,duplicate,2D_embed_link,3D_embed_link
"1011",01.03.94,"6977",358908.77,5643318.58,114.9099994,50.92423284,6.992466346,163.02,48.11000061,60.03000092,54.87999847,35689.3384,3dm_32_358_5643_1_nw.laz,2022-02,false,false,,,,,true,false,,,,,,,,true,false,,,missing,TÜV Building - significant,true,building,,false,https://dme-3.github.io/Obstacles-Map/embeds/1.3.94-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/1.3.94-3D.html
"1026",01.03.95,"4126",368991.6489,5670938.388,114.7575015,51.17485334,7.125860356,218.17,103.4124985,60.0025,54.75500153,24422.95395,3dm_32_368_5670_1_nw.laz,2020-12,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,electricity cable,,false,https://dme-3.github.io/Obstacles-Map/embeds/1.3.95-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/1.3.95-3D.html
"1032",03.04.95,"629",488005.03,5692374.69,170.1200024,51.38248976,8.827636378,604.68,434.5599976,60.31499146,109.805011,155.0667727,3dm_32_488_5692_1_nw.laz,2021-03,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"1036",03.01.96,"2308",459998.336,5691980.404,107.9399976,51.37766642,8.425262516,430.88,322.9400024,60.00251221,47.93748535,76.17937608,3dm_32_459_5691_1_nw.laz,2021-03,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,electricity cable,,true,https://dme-3.github.io/Obstacles-Map/embeds/3.1.96-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/3.1.96-3D.html
"1047",03.04.96,"1268",523534.4967,5710299.295,170.0949994,51.54329591,9.339380041,420.58,250.4850006,60.00000549,110.0949939,1278.22082,3dm_32_523_5710_1_nw.laz,2023-03,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"1055",03.02.97,"764",455408.1567,5805413.433,141.4299992,52.39715183,8.344628998,185.63,44.20000076,60.12000015,81.30999908,35886.09555,3dm_32_455_5805_1_nw.laz,2023-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"1056",01.03.97,"567",349001.81,5671976.913,113.2075017,51.17924136,6.839664304,153.78,40.57249832,60.19750031,53.01000137,36513.20811,3dm_32_349_5671_1_nw.laz,2022-02,false,false,,,,,true,false,,,,,,,,false,true,2024/02/08 18:24:22,outlier / smoke,,,true,smoke stack,,,https://dme-3.github.io/Obstacles-Map/embeds/1.3.97-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/1.3.97-3D.html
"1065",02.01.98,"2722",343698.1088,5704834.765,122.5899985,51.47306801,6.749391466,156.24,33.65000153,60.07000076,62.51999771,1165.531227,3dm_32_343_5704_1_nw.laz,2020-03,false,false,,,,,true,false,,,,,,,,false,true,2024/02/08 00:00:00,destroyed,,snoke stack demolished in 2020,true,smoke stack,,false,https://dme-3.github.io/Obstacles-Map/embeds/2.1.98-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.1.98-3D.html
"1085",03.02.99,"830",465209.4843,5782374.923,140.9174985,52.19074001,8.491064167,206.63,65.71250153,80.06500092,60.85249756,42465.45422,3dm_32_465_5782_1_nw.laz,2023-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"1088",03.03.99,"563",495508.97,5805949.92,145.2600024,52.40376355,8.933984987,195.82,50.55999756,60.10249985,85.15750259,37122.1048,3dm_32_495_5805_1_nw.laz,2023-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
